PERMITENTRANCEID,PERMITENTRANCEZONEID,ZONE
"490","54082","Namakan"
"491","54083","Backcountry"
"492","54084","Rainy East"
"655","54085","Namakan"
"656","54086","Rainy East"
"651","54087","Sand Point Lake"
"652","54088","Backcountry"
"653","54089","Sand Point Lake"
"426","54090","Backcountry"
"663","54091","Namakan"
"427","54092","Namakan"
"428","54093","Namakan"
"647","54094","Backcountry"
"429","54095","Rainy West"
"648","54096","Rainy West"
"649","54097","Kabetogama"
"650","54098","Kabetogama"
"638","54099","Backcountry"
"639","54100","Kabetogama"
"507","54101","Backcountry"
"567","54102","Namakan"
"568","54103","Namakan"
"508","54104","Rainy West"
"569","54105","Kabetogama"
"570","54106","Namakan"
"509","54107","Kabetogama"
"510","54108","Backcountry"
"563","54109","Sand Point Lake"
"565","54110","Sand Point Lake"
"566","54111","Namakan"
"431","54112","Rainy West"
"561","54113","Rainy West"
"562","54114","Kabetogama"
"598","54115","Rainy West"
"599","54116","Rainy West"
"600","54117","Sand Point Lake"
"601","54118","Kabetogama"
"602","54119","Backcountry"
"603","54120","Rainy West"
"682","54121","Namakan"
"683","54122","Namakan"
"432","54123","Backcountry"
"685","54124","Backcountry"
"433","54125","Backcountry"
"686","54126","Kabetogama"
"513","54127","Rainy East"
"514","54128","Rainy East"
"673","54129","Namakan"
"674","54130","Kabetogama"
"675","54131","Kabetogama"
"681","54132","Backcountry"
"515","54133","Namakan"
"676","54134","Namakan"
"677","54135","Namakan"
"678","54136","Namakan"
"679","54137","Backcountry"
"680","54138","Rainy East"
"532","54139","Backcountry"
"533","54140","Kabetogama"
"534","54141","Backcountry"
"612","54142","Namakan"
"613","54143","Backcountry"
"614","54144","Backcountry"
"615","54145","Rainy East"
"606","54146","Namakan"
"607","54147","Namakan"
"608","54148","Rainy East"
"609","54149","Backcountry"
"610","54150","Rainy East"
"611","54151","Namakan"
"604","54152","Rainy West"
"605","54153","Sand Point Lake"
