ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,FACILITYADDRESSID,FACILITYADDRESSTYPE,FACILITYID,FACILITYSTREETADDRESS1,FACILITYSTREETADDRESS2,FACILITYSTREETADDRESS3,POSTALCODE
"USA","KY","Mammoth Cave","18480309","Physical","259000","","","","42259-0007"
"USA","KY","Mammoth Cave","18480310","Physical","259000","","","","42259-0007"
"USA","KY","Mammoth Cave","18480311","Physical","259001","","","","42259-0007"
"USA","KY","Mammoth Cave","18480312","Physical","259001","","","","42259-0007"
"USA","KY","Mammoth Cave","18480313","Physical","259002","","","","42259-0007"
"USA","KY","Mammoth Cave","18480314","Physical","259002","","","","42259-0007"
"USA","KY","Mammoth Cave","18480315","Physical","259003","","","","42259-0007"
"USA","KY","Mammoth Cave","18480316","Physical","259003","","","","42259-0007"
"USA","KY","Mammoth Cave","18480317","Physical","259004","","","","42259-0007"
"USA","KY","Mammoth Cave","18480318","Physical","259004","","","","42259-0007"
"USA","KY","Mammoth Cave","18480319","Physical","259005","","","","42259-0007"
"USA","KY","Mammoth Cave","18480320","Physical","259005","","","","42259-0007"
"USA","KY","Mammoth Cave","18480321","Physical","259006","","","","42259-0007"
"USA","KY","Mammoth Cave","18480322","Physical","259007","","","","42259-0007"
"USA","KY","Mammoth Cave","18480323","Physical","259007","","","","42259-0007"
"USA","KY","Mammoth Cave","18480324","Physical","259008","1 Mammoth Cave Parkway","","","42259-0007"
"USA","KY","Mammoth Cave","18480325","Mailing","259008","P.O. Box 7","","","42259-0007"
"USA","KY","Mammoth Cave","18480326","Physical","259006","Mammoth Cave National Park","","","42259-0007"
"USA","TN","Oak Ridge","18480327","Physical","259009","461 W. Outer Drive","","","37830"
"USA","WA","Richland","18480328","Physical","259010","Manhattan Project National Historical Park Interim Visitor Contact Station","2000 Logston Blvd","","99354"
"USA","NM","Los Alamos","18480329","Physical","259011","Los Alamos Visitor Contact Station","475 20th Street","Los Alamos","87544"
"USA","GA","Atlanta","18480330","Physical","251530","450 Auburn Avenue, NE","","","30312"
"USA","NY","Kinderhook","18480331","Physical","259012","Martin Van Buren NHS","1013 Old Post Road","","12106-3605"
"USA","DC","Washington","18480332","Physical","259013","1318 Vermont Avenue, N.W.","","","20005"
"USA","MD","Landover","18480333","Physical","259014","National Archives for Black Women's History","Museum Resource Center","3300 Hubbbard Rd","20785"
"USA","MD","Landover","18480334","Mailing","259014","National Archives for Black Women's History","c/o Museum Resource Center","3300 Hubbard Rd","20785"
"USA","ID","Jerome","18480337","Physical","259016","296 S 1400 E","","","83338"
"USA","ID","Hagerman","18480338","Mailing","259016","PO Box 570","","","83332"
"USA","MA","Lincoln","18480339","Physical","259017","250 North Great Road","","","01773     "
"USA","MA","n/a","18480340","Mailing","259017","n/a","","","01773     "
"USA","MA","Concord","18480341","Physical","259018","174 Liberty Street","","","01742     "
"USA","SD","Philip","18480342","Physical","251529","24545 Cottonwood Road","","","57567"
"USA","MN","Saint Paul","18480343","Physical","259019","120 Kellogg Blvd West","","","55102"
"USA","MN","Minneapolis","18480344","Physical","259020","1 Portland Avenue","","","54401"
"USA","CA","Essex","18480345","Physical","246848","2 Black Canyon Road","","","92332"
"USA","CA","Essex","18480346","Mailing","246848","P.O. Box 56","","","92332"
"USA","CA","Barstow","18480347","Physical","246847","","","","92311"
"USA","CA","Barstow","18480348","Physical","246847","","","","92311"
"USA","CA","Essex","18480349","Mailing","246847","P.O. Box 56","","","92332"
"USA","CA","Barstow","18480350","Physical","259021","","","","92311"
"USA","CA","Barstow","18480351","Physical","259021","","","","92311"
"USA","CA","Essex","18480352","Mailing","259021","P.O. Box 56","","","92332"
"USA","CA","Kelso","18480353","Physical","259022","90942 Kelso-Cima Road","","","92309"
"USA","CA","Kelso","18480354","Mailing","259022","HC1 Box 114","","","92309"
"USA","CA","Essex","18480355","Physical","259023","2 Black Canyon Road","","","92332"
"USA","CA","Essex","18480356","Mailing","259023","P.O. Box 56","","","92332"
"USA","CA","Barstow","18480357","Mailing","259024","2701 Barstow Road","","","92311"
"USA","MD","Frederick","18480358","Physical","259025","5201 Urbana Pike","","","21704"
"USA","MD","Frederick","18480359","Mailing","259025","4632 Araby Church Road","","","21704"
"USA","NC","Currie","18480362","Physical","259027","200 Battleground Dr","","","28435"
"USA","NC","Currie","18480363","Mailing","259027","40 Patriots Hall Dr.","","","28435"
"USA","UT","Salt Lake City","18480364","Physical","259028","","","","84111"
"USA","UT","Salt Lake City","18480365","Physical","259028","","","","84111"
"USA","NJ","Morristown","18480366","Physical","259029","30 Washington Place","","","07960     "
"USA","NJ","Morristown","18480367","Physical","259030","580 Tempe Wick Road","","","07960     "
"USA","NJ","Morristown","18480368","Mailing","259030","30 Washington Place","","","07960     "
"USA","WA","Ashford","18480369","Physical","259031","","","","98304"
"USA","WA","Ashford","18480370","Physical","259031","","","","98304"
"USA","WA","Ashford","18480371","Physical","259032","","","","98304"
"USA","WA","Ashford","18480372","Physical","259032","","","","98304"
"USA","WA","Ashford","18480373","Physical","259033","","","","98304"
"USA","WA","Ashford","18480374","Physical","259033","","","","98304"
"USA","WA","Ashford","18480375","Physical","259034","","","","98304"
"USA","WA","Ashford","18480376","Physical","259034","","","","98304"
"USA","WA","Ashford","18480377","Physical","259035","","","","98304"
"USA","WA","Ashford","18480378","Physical","259035","","","","98304"
"USA","WA","Ashford","18480379","Physical","259036","","","","98304"
"USA","WA","Ashford","18480380","Physical","259036","","","","98304"
"USA","WA","Carbonado","18480381","Physical","259037","35415 Fairfax Forest Reserve Rd E","","","98323"
"USA","WA","","18480382","Mailing","259037","","","",""
"USA","SD","Keystone","18480383","Physical","259038","13000 Highway 244","Building 31, Suite 1","","57751"
"USA","SD","Keystone","18480384","Physical","259039","13000 Highway 244","Building 31, Suite 1","","57751"
"USA","MS","Natchez","18480386","Physical","259041","","","","39120"
"USA","MS","Natchez","18480387","Physical","259041","","","","39120"
"USA","MS","Tupelo","18480388","Physical","259042","","","","38804"
"USA","MS","Tupelo","18480389","Physical","259042","","","","38804"
"USA","MS","Tupelo","18480390","Physical","259043","","","","38804"
"USA","MS","Tupelo","18480391","Physical","259043","","","","38804"
"USA","MS","Tupelo","18480392","Physical","259044","","","","38804"
"USA","MS","Tupelo","18480393","Physical","259044","","","","38804"
"USA","MS","Natchez","18480394","Physical","259045","5182 Natchez Trace Parkway","","","39120"
"USA","MS","Tupelo","18480396","Physical","259047","","","","38804"
"USA","MS","Tupelo","18480397","Physical","259047","","","","38804"
"USA","MS","Tupelo","18480398","Mailing","259047","2680 Natchez Trace Parkway","","","38804"
"USA","MS","Tupelo","18480399","Physical","259048","","","","38804"
"USA","MS","Tupelo","18480400","Physical","259048","","","","38804"
"USA","MS","Ridgeland","18480401","Mailing","259048","100 East Jackson Street","","","39157"
"USA","AS","Pago Pago","18480402","Physical","253683","MHJ Building, 2nd Floor","","","96799"
"USA","AS","Pago Pago","18480403","Physical","253683","MHJ Building, 2nd Floor","","","96799"
"USA","UT","Lake Powell","18480406","Physical","259049","At the end of UT 275","Approximately 45 minutes' drive west of Blanding, Utah","","84533"
"USA","UT","Lake Powell","18480407","Mailing","259049","HC 60 Box 1","","","84533"
"USA","AZ","Shonto","18480408","Physical","259050","","","","86054"
"USA","AZ","Shonto","18480409","Physical","259050","","","","86054"
"USA","AZ","Shonto","18480410","Physical","259051","Navajo National Monument - Canyon View Campground","End of AZ Highway 564","","86054"
"USA","AZ","Shonto","18480411","Mailing","259051","Navajo National Monument","P.O. BOX 7717","","86054"
"USA","AZ","Shonto","18480412","Physical","259052","Navajo National Monument","End of AZ Highway 654","","86054"
"USA","AZ","Shonto","18480413","Mailing","259052","Navajo National Monument","P.O. BOX 7717","","86054"
"USA","LA","New Orleans","18480416","Physical","259054","916 North Peters St","","","70130"
"USA","LA","New Orleans","18480417","Mailing","259054","419 Decatur St","","","70130"
"USA","LA","New Orleans","18480418","Physical","259055","400 Esplanade Ave","","","70130"
"USA","LA","New Orleans","18480419","Mailing","259055","419 Decatur St","","","70130"
"USA","WV","Thurmond","18480420","Physical","259056","Stone Cliff Campground","","","25963"
"USA","WV","Glen Jean","18480421","Mailing","259056","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Prince","18480422","Physical","259057","Army Camp Campground","","","25907"
"USA","WV","Glen Jean","18480423","Mailing","259057","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Prince","18480424","Physical","259058","Grandview Sandbar Campground","Glade Creek Road","","25907"
"USA","WV","Glen Jean","18480425","Mailing","259058","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Prince","18480426","Physical","259059","Glade Creek Campground","Glade Creek Road","","25907"
"USA","WV","Glen Jean","18480427","Mailing","259059","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Prince","18480428","Physical","259060","War Ridge Campground","","","25907"
"USA","WV","Glen Jean","18480429","Mailing","259060","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Cunard","18480430","Physical","259061","Brooklyn Campground","","","25830"
"USA","WV","Glen Jean","18480431","Mailing","259061","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Thurmond","18480432","Physical","259062","Thayer Campground","","","25936"
"USA","WV","Glen Jean","18480433","Mailing","259062","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Lansing","18480434","Physical","259063","83 Burnwood Campground Road","","","25862"
"USA","WV","Glen Jean","18480435","Mailing","259063","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Thurmond","18480436","Physical","259064","Dunglen Group Campground","","","25936"
"USA","WV","Glen Jean","18480437","Mailing","259064","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Lansing","18480438","Physical","259065","162 Visitor Center Road","","","25862"
"USA","WV","Glen Jean","18480439","Mailing","259065","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Sandstone","18480440","Physical","259066","330 Meadow Creek Road","","","25985"
"USA","WV","Glen Jean","18480441","Mailing","259066","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Beaver","18480442","Physical","259067","4700 Grandview Road","","","25813"
"USA","WV","Glen Jean","18480443","Mailing","259067","PO Box 246, 104 Main Street","","","25846"
"USA","WV","Thurmond","18480444","Physical","259068","254 River Crest Road","","","25936"
"USA","WV","Glen Jean","18480445","Mailing","259068","PO Box 246, 104 Main Street","","","25846"
"USA","KS","Nicodemus","18480446","Physical","259069","304 Washington Avenue","","","67625-3015"
"USA","SC","Ninety Six","18480447","Physical","259070","Ninety Six National Historic Site","1103 Hwy 248 S","","29666"
"USA","NE","Valentine","18480448","Physical","259071","","","","69201"
"USA","NE","Valentine","18480449","Physical","259071","","","","69201"
"USA","NE","Valentine","18480450","Physical","259072","214 W. Highway 20","","","69201"
"USA","AK","Kotzebue","18480451","Physical","259073","171 3rd Ave","","","99752"
"USA","AK","Kotzebue","18480452","Mailing","259073","PO Box 1029","","","99752"
"USA","WA","Sedro-Woolley","18480453","Physical","246852","Goodell Creek Campground","c/o North Cascades National Park Complex","810 State Route 20","98284"
"USA","WA","Sedro-Woolley","18480454","Physical","246852","Goodell Creek Campground","c/o North Cascades National Park Complex","810 State Route 20","98284"
"USA","WA","Sedro-Woolley","18480455","Mailing","246852","810 SR 20","","","98284"
"USA","WA","Sedro-Woolley","18480456","Physical","259074","","","","98284"
"USA","WA","Sedro-Woolley","18480457","Physical","259074","","","","98284"
"USA","WA","Sedro-Woolley","18480458","Physical","246855","Colonial Creek Campground","c/o North Cascades National Park","810 State Route 20","98284"
"USA","WA","Sedro-Woolley","18480459","Physical","246855","Colonial Creek Campground","c/o North Cascades National Park","810 State Route 20","98284"
"USA","WA","Sedro-Woolley","18480460","Mailing","246855","810 SR 20","","","98284"
"USA","WA","Sedro-Woolley","18480461","Physical","259075","","","","98284"
"USA","WA","Sedro-Woolley","18480462","Physical","259075","","","","98284"
"USA","WA","Sedro-Woolley","18480463","Mailing","259075","810 State Route 20","","","98284"
"USA","WA","Sedro-Woolley","18480464","Physical","259076","","","","98284"
"USA","WA","Sedro-Woolley","18480465","Physical","259076","","","","98284"
"USA","WA","Sedro-Woolley","18480466","Mailing","259076","810 State Route 20","","","98284"
"USA","WA","Sedro-Woolley","18480467","Physical","259077","810 State Route 20 (Moore Street)","","","98284"
"USA","WA","Marblemount","18480468","Physical","259078","7280 Ranger Station Rd.","","","98267"
"USA","TN","Wartburg","18480469","Physical","259080","208 North Maiden Street","","","37887"
"USA","GA","Macon","18480470","Physical","259081","1207 Emery Hwy","","","31217"
"USA","WA","Port Angeles","18480473","Physical","247593","","","","98362"
"USA","WA","Port Angeles","18480474","Physical","247593","","","","98362"
"USA","WA","Port Angeles","18480475","Physical","259082","","","","98362"
"USA","WA","Port Angeles","18480476","Physical","259082","","","","98362"
"USA","WA","Port Angeles","18480477","Physical","259083","Olympic Hot Springs Road","","","98363"
"USA","WA","Port Angeles","18480478","Physical","259083","Olympic Hot Springs Road","","","98363"
"USA","WA","Port Angeles","18480479","Physical","259084","","","","98363"
"USA","WA","Port Angeles","18480480","Physical","259084","","","","98363"
"USA","WA","Port Angeles","18480481","Physical","259085","","","","98362"
"USA","WA","Port Angeles","18480482","Physical","259085","","","","98362"
"USA","WA","Port Angeles","18480483","Physical","247585","Hurricane Ridge Road","","","98362"
"USA","WA","Port Angeles","18480484","Physical","247585","Hurricane Ridge Road","","","98362"
"USA","WA","Forks","18480485","Physical","247592","Hoh Campground","","","98331"
"USA","WA","Forks","18480486","Physical","247591","","","","98331"
"USA","WA","Forks","18480487","Physical","247591","","","","98331"
"USA","WA","Port Angeles","18480488","Physical","259086","","","","98362"
"USA","WA","Port Angeles","18480489","Physical","259086","","","","98362"
"USA","WA","Port Angeles","18480490","Physical","259087","","","","98362"
"USA","WA","Port Angeles","18480491","Physical","259087","","","","98362"
"USA","WA","Port Angeles","18480492","Physical","259088","","","","98362"
"USA","WA","Port Angeles","18480493","Physical","259088","","","","98362"
"USA","WA","Port Angeles","18480496","Physical","259090","","","","98362"
"USA","WA","Port Angeles","18480497","Physical","259090","","","","98362"
"USA","WA","Hoodsport","18480498","Physical","247586","","","","98548"
"USA","WA","Hoodsport","18480499","Physical","247586","","","","98548"
"USA","WA","Port Angeles","18480500","Physical","259091","Olympic National Park Visitor Center","3002 Mount Angeles Road","","98362"
"USA","WA","Forks","18480501","Physical","259092","Mora Ranger Station","3283 Mora Rd.","","98331"
"USA","WA","Forks","18480502","Physical","259093","Hoh Rain Forest Visitor Center","","","98331"
"USA","WA","Forks","18480503","Physical","259094","Kalaloch Ranger Station","156954 Highway 101","","98331"
"USA","WA","Port Angeles","18480504","Physical","259095","Hurricane Ridge Visitor Center","Hurricane Ridge Road","","98362"
"USA","WA","Port Angeles","18480505","Mailing","259095","Olympic National Park Visitor Center","3002 Mount Angeles Road","","98362"
"USA","WA","Port Angeles","18480506","Physical","259096","","","","98362"
"USA","WA","Port Angeles","18480507","Physical","259096","","","","98362"
"USA","WA","Clallam Bay","18480508","Physical","259097","Ozette Ranger Station","","","98326"
"USA","WA","Port Angeles","18480509","Physical","259098","Storm King Ranger Station","","","98362"
"USA","WA","Port Angeles","18480510","Mailing","259098","Olympic National Park Visitor Center","3002 Mount Angeles Rd.","","98362"
"USA","WA","Port Angeles","18480511","Physical","259099","","","","98362"
"USA","WA","Port Angeles","18480512","Physical","259099","","","","98362"
"USA","WA","Beaver","18480513","Physical","259100","Eagle Ranger Station","Sol Duc Road","","98305"
"USA","WA","Port Angeles","18480514","Physical","259101","Elwha Ranger Station","Olympic Hot Springs Rd.","","98363"
"USA","WA","Port Angeles","18480515","Mailing","259101","Olympic National Park Visitor Center","3002 Mount Angeles Road","","98362"
"USA","NM","Santa Fe","18480516","Physical","259102","","","","87505"
"USA","NM","Santa Fe","18480517","Physical","259102","","","","87505"
"USA","OR","Cave Junction","18480518","Physical","253686","Oregon Caves NM and Preserve","19000 Caves Hwy","","97523"
"USA","OR","Cave Junction","18480519","Physical","259103","","","","97523"
"USA","OR","Cave Junction","18480520","Physical","259103","","","","97523"
"USA","OR","Cave Junction","18480521","Physical","259104","","","","97523"
"USA","OR","Cave Junction","18480522","Physical","259104","","","","97523"
"USA","AZ","Ajo","18480523","Physical","247566","Alamo Canyon Road","","","85321"
"USA","AZ","Ajo","18480524","Mailing","247566","10 Organ Pipe Drive","","","85321"
"USA","AZ","Ajo","18480525","Physical","247565","10 Organ Pipe Drive","","","85321"
"USA","AZ","Ajo","18480526","Physical","259105","10 Organ Pipe Drive","","","85321"
"USA","MD","Oxon Hill","18480527","Physical","259106","Bald Eagle Road","","","20745"
"USA","MD","Oxon Hill","18480528","Mailing","259106","6411 Oxon Hill Road","","","20745"
"USA","MO","Van Buren","18480529","Physical","259107","","","","63965"
"USA","MO","Van Buren","18480530","Physical","259107","","","","63965"
"USA","MO","Van Buren","18480531","Physical","259108","404 Watercress Drive","","","63965"
"USA","MO","Van Buren","18480532","Mailing","259108","P.O. Box 490","","","63965"
"USA","MO","Eminence","18480533","Physical","259109","12185 Alley Hollow Road","","","65466"
"USA","MO","Eminence","18480534","Physical","259110","13209 Round Spring Campground Road","","","65466"
"USA","TX","Corpus Christi","18480535","Physical","259111","Park Road 22","","","78418"
"USA","TX","Corpus Christi","18480536","Mailing","259111","Padre Island National Seashore","PO Box 181300","","78480"
"USA","TX","Corpus Christi","18480537","Physical","259112","Padre Island National Seashore","20420 Park Road 22","","78418"
"USA","TX","Corpus Christi","18480538","Mailing","259112","Padre Island National Seashore","P.O. Box 181300","","78480"
"USA","TX","Corpus Christi","18480539","Physical","259113","Malaquite Visitor Center","20420 Park Road 22",""," 78418    "
"USA","TX","Corpus Christi","18480540","Mailing","259113","Padre Island National Seashore","Malaquite Visitor Center","P.O. Box 181300","78480"
"USA","TX","Brownsville","18480541","Physical","259114","7200 Paredes Line Road","","","78526"
"USA","TX","Brownsville","18480542","Mailing","259114","1623 Central Blvd., Suite 213","","","78520"
"USA","AR","Garfield","18480543","Physical","259115","15930 E Highway 62","","","72732"
"USA","NM","Pecos","18480544","Physical","259116","E. E. Fogelson Visitor Center","1 Peach Drive","","87552"
"USA","NM","Santa Fe","18480545","Mailing","259116","E.E. Fogelson Visitor Center","Pecos National Historical Park","P.O. Box 418","87552"
"USA","NM","Albuquerque","18480554","Physical","259118","","","","87120"
"USA","NM","Albuquerque","18480555","Physical","259118","","","","87120"
"USA","MI","Grand Marais","18480556","Physical","247603","11.2 miles west of Grand Marais on H-58","","","49839"
"USA","MI","Grand Marais","18480557","Physical","247603","11.2 miles west of Grand Marais on H-58","","","49839"
"USA","MI","Melstrand","18480558","Physical","246856","Little Beaver Lake Road","","","49884"
"USA","MI","Melstrand","18480559","Physical","246856","Little Beaver Lake Road","","","49884"
"USA","MI","Grand Marais","18480560","Physical","247602","18 miles west of Grand Marais on H-58","","","49839"
"USA","MI","Grand Marais","18480561","Physical","247602","18 miles west of Grand Marais on H-58","","","49839"
"USA","MI","Munising","18480562","Physical","259119","","","","49862"
"USA","MI","Munising","18480563","Physical","259119","","","","49862"
"USA","MI","Munising","18480564","Physical","259120","","","","49862"
"USA","MI","Munising","18480565","Physical","259120","","","","49862"
"USA","CA","Paicines","18480566","Physical","259121","2400 Highway 146","","","95043"
"USA","CA","Paicines","18480567","Physical","259122","","","","95043"
"USA","CA","Paicines","18480568","Physical","259122","","","","95043"
"USA","AZ","Fredonia","18480569","Physical","259123","Pipe Spring National Monument","406 N. Pipe Spring Rd","","86022"
"USA","AZ","Fredonia","18480570","Mailing","259123","Pipe Spring National Monument","HC 65, Box 5",""," 86022    "
"USA","MN","Pipestone","18480571","Physical","259124","36 Reservation Ave","","","56164"
"USA","MD","Accokeek","18480572","Physical","259125","3400 Bryan Point Road","","","20607"
"USA","MD","Fort Washington","18480573","Mailing","259125","13551 Fort Washington Park","","","20744"
"USA","CA","Point Reyes Statioin","18480574","Physical","259126","Bear Valley Visitor Center","1 Bear Valley Road","","94956"
"USA","CA","Inverness","18480575","Physical","259127","1 Drakes Beach Road","","","94937"
"USA","CA","Point Reyes Station","18480576","Mailing","259127","1 Bear Valley Road","","","94956"
"USA","CA","Inverness","18480577","Physical","259128","27000 Sir Francis Drake Boulevard","","","94937"
"USA","CA","Point Reyes Station","18480578","Mailing","259128","1 Bear Valley Road","","","94956"
"USA","NM","Santa Fe","18480579","Physical","259129","","","","87505"
"USA","NM","Santa Fe","18480580","Physical","259129","","","","87505"
"USA","MD","Big Pool","18480586","Physical","259135","11100 Fort Frederick Road","","","21711"
"USA","WV","Harpers Ferry","18480589","Physical","259137","","","","25425"
"USA","WV","Harpers Ferry","18480590","Physical","259137","","","","25425"
"USA","PA","Meyersdale","18480591","Physical","259138","527 Main Street","","","15552"
"USA","PA","Ohiopyle","18480592","Physical","259139","7 Sheridan St","","","15470"
"USA","WV","Harpers Ferry","18480593","Physical","259140","","","","25425"
"USA","WV","Harpers Ferry","18480594","Physical","259140","","","","25425"
"USA","VA","Occoquan","18480600","Physical","259143","The Occoquan Historical Society Mill House Museum","413 Mill Street, PO Box 65","","22125"
"USA","VA","Alexandria","18480601","Physical","259144","221 King Street","","","22314"
"USA","VA","Alexandria","18480602","Physical","259145","9000 Richmond Highway","","","22309"
"USA","WV","Harpers Ferry","18480603","Physical","259146","","","","25425"
"USA","WV","Harpers Ferry","18480604","Physical","259146","","","","25425"
"USA","VA","Woodbridge","18480605","Physical","259147","2001 Daniel K. Ludwig Dr.","","","22191"
"USA","VA","Falmouth","18480607","Physical","259149","224 Washington Street","","","22405"
"USA","WV","Harpers Ferry","18480611","Physical","259151","","","","25425"
"USA","WV","Harpers Ferry","18480612","Physical","259151","","","","25425"
"USA","VA","Fredericksburg","18480613","Mailing","259151","268 Kings Hwy","","","22405"
"USA","WV","Harpers Ferry","18480617","Physical","259154","","","","25425"
"USA","WV","Harpers Ferry","18480618","Physical","259154","","","","25425"
"USA","MD","Accokeek","18480619","Mailing","259154","3400 Bryan Point Road","","","20607"
"USA","MD","Leonardtown","18480621","Physical","259156","41680 Tudor Place","","","20650"
"USA","MD","St. Mary's City","18480622","Physical","259157","18751 Hogaboom Lane","","","20686"
"USA","MD","St. Mary's City","18480623","Mailing","259157","Historic St. Mary's City","P.O. Box 39","","20686"
"USA","MD","Colton's Point","18480624","Physical","259158","St. Clement’s Island Museum","38370 Point Breeze Road","","20626"
"USA","WV","Harpers Ferry","18480627","Physical","259160","","","","25425"
"USA","WV","Harpers Ferry","18480628","Physical","259160","","","","25425"
"USA","VA","Montross","18480629","Physical","259161","83 Great House Road","","","22520"
"USA","VA","King George","18480630","Physical","259162","11617 Caledon Rd","","","22485"
"USA","AR","Hope","18480635","Physical","259165","412 West Division Street","","","71801"
"USA","AR","Hope","18480636","Mailing","259165","117 South Hervey Street","","","71801"
"USA","DC","Washington","18480637","Physical","259166","1450 Pennsylvania Avenue NW","","","20230"
"USA","DC","Washington","18480638","Mailing","259166","1100 Ohio Drive SW","Room 344","","20242"
"USA","DC","Washington","18480639","Physical","259167","","","","20230"
"USA","DC","Washington","18480640","Physical","259167","","","","20230"
"USA","CA","San Francisco","18480641","Physical","259168","210 Lincoln Boulevard","","","94129"
"USA","CA","San Francisco","18480642","Mailing","259168","Fort Mason, Bldg. 201","","","94123"
"USA","VA","Triangle","18480643","Physical","259169","","","","22172"
"USA","VA","Triangle","18480644","Physical","259169","","","","22172"
"USA","VA","Triangle","18480645","Physical","259170","18100 Park Headquarters Road","","","22172"
"USA","VA","Triangle","18480646","Physical","259171","18100 Park Headquarters Road","","","22172"
"USA","VA","Triangle","18480647","Physical","259172","18170 Park Entrance Road","","","22172"
"USA","VA","Triangle","18480648","Mailing","259172","18100 Park Headquarters Road","","","22172"
"USA","HI","Honaunau","18480651","Physical","259174","Highway 160","","","96726"
"USA","HI","Honaunau","18480652","Mailing","259174","PO BOX 129","","","96726"
"USA","HI","Kawaihae","18480653","Physical","259175","","","","96743"
"USA","HI","Kawaihae","18480654","Physical","259175","","","","96743"
"USA","IL","Chicago","18480655","Physical","259176","","","","60628"
"USA","IL","Chicago","18480656","Physical","259176","","","","60628"
"USA","CA","Crescent City","18480661","Physical","259179","","","","95531"
"USA","CA","Crescent City","18480662","Physical","259179","","","","95531"
"USA","CA","Crescent City","18480663","Physical","259180","","","","95531"
"USA","CA","Crescent City","18480664","Physical","259180","","","","95531"
"USA","CA","Crescent City","18480665","Physical","259181","","","","95531"
"USA","CA","Crescent City","18480666","Physical","259181","","","","95531"
"USA","CA","Crescent City","18480667","Physical","259182","","","","95531"
"USA","CA","Crescent City","18480668","Physical","259182","","","","95531"
"USA","CA","Crescent City","18480669","Physical","259183","","","","95531"
"USA","CA","Crescent City","18480670","Physical","259183","","","","95531"
"USA","CA","Crescent City","18480671","Physical","259184","","","","95531"
"USA","CA","Crescent City","18480672","Physical","259184","","","","95531"
"USA","CA","Crescent City","18480673","Physical","259185","","","","95531"
"USA","CA","Crescent City","18480674","Physical","259185","","","","95531"
"USA","CA","Crescent City","18480675","Physical","259186","","","","95531"
"USA","CA","Crescent City","18480676","Physical","259186","","","","95531"
"USA","CA","Crescent City","18480677","Physical","259187","","","","95531"
"USA","CA","Crescent City","18480678","Physical","259187","","","","95531"
"USA","MI","Monroe","18480683","Physical","259190","1403 East Elm Avenue","","","48162"
"USA","DC","Washington","18480684","Physical","259191","5200 Glover Road, NW","","","20015"
"USA","DC","Washington","18480685","Physical","259192","3051 M Street, NW","","","20007"
"USA","DC","Washington","18480686","Mailing","259192","3545 Williamsburg Lane, NW","","","20008"
"USA","DC","Washington","18480687","Physical","259193","2401 Tilden Street","","","20008"
"USA","DC","Washington","18480688","Mailing","259193","5200 Glover Road, NW","","","200015"
"USA","CO","Estes Park","18480689","Physical","259194","1000 US Hwy 36","","","80517"
"USA","CO","Estes Park","18480690","Physical","259195","","","","80517"
"USA","CO","Estes Park","18480691","Physical","259195","","","","80517"
"USA","CO","Estes Park","18480692","Mailing","259195","1000 US Hwy 36","","","80517"
"USA","CO","Estes Park","18480693","Physical","259196","3450 Fall River Road","","","80517"
"USA","CO","Estes Park","18480694","Mailing","259196","1000 US Hwy 36","","","80517"
"USA","CO","Grand Lake","18480695","Physical","259197","16018 US Highway 34","","","80447"
"USA","CO","Estes Park","18480696","Mailing","259197","1000 US Hwy 36","","","80517"
"USA","CO","Estes Park","18480697","Physical","259198","Bear Lake Road","","","80517"
"USA","CO","Estes Park","18480698","Mailing","259198","1000 US Hwy 36","","","80517"
"USA","CO","Estes Park","18480699","Physical","259199","","","","80517"
"USA","CO","Estes Park","18480700","Physical","259199","","","","80517"
"USA","CO","Grand Lake","18480701","Physical","259200","Holzwarth Historic Site","","","80447"
"USA","CO","Estes Park","18480702","Mailing","259200","1000 US Hwy 36","","","80517"
"USA","RI","Providence","18480703","Physical","259201","","","","02903     "
"USA","RI","Providence","18480704","Physical","259201","","","","02903     "
"USA","CA","Richmond","18480705","Physical","259202","1414 Harbour Way South, Suite 3000","","","94804"
"USA","NY","Oyster Bay","18480706","Physical","259203","12 Sagamore Hill Road","","","11771"
"USA","NY","Oyster Bay","18480707","Physical","259204","20 Sagamore Hill Road","","","11771"
"USA","NY","Oyster Bay","18480708","Physical","259205","12 Sagamore Hill Road","","","11771"
"USA","NY","Oyster Bay","18480709","Mailing","259205","20 Sagamore Hill Road","","","11771"
"USA","AZ","Tucson","18480710","Physical","259206","","","","85730"
"USA","AZ","Tucson","18480711","Physical","259206","","","","85730"
"USA","AZ","Tucson","18480712","Physical","259207","","","","85730"
"USA","AZ","Tucson","18480713","Physical","259207","","","","85730"
"USA","AZ","Tucson","18480714","Physical","259208","","","","85730"
"USA","AZ","Tucson","18480715","Physical","259208","","","","85730"
"USA","AZ","Tucson","18480716","Physical","259209","","","","85730"
"USA","AZ","Tucson","18480717","Physical","259209","","","","85730"
